family,task,shot,head,n,f1_mean,f1_std,ap_mean,ap_std,auc_mean,auc_std
p10c_haidian_frozen_harbin,building,5,unet,15,0.09743683674650841,0.12405358811485045,0.07349401442991212,0.10163186937324505,0.6763433196421197,0.23421933041548937
p10c_haidian_frozen_harbin,building,5,wide_mlp,15,0.12154453106738246,0.15326976597201583,0.09342694629065353,0.12970279930999853,0.8292216018853115,0.11440079596766835
p10c_haidian_frozen_harbin,building,10,conv3x3,15,0.1418443236686721,0.15971019864654853,0.1257865926304792,0.14593108048428866,0.8877097080718213,0.07962059413141036
p10c_haidian_frozen_harbin,building,10,deep_wide_mlp,15,0.140880296767955,0.16951947793570316,0.11699765902389334,0.1545664417861226,0.8760977355349658,0.08804529994870047
p10c_haidian_frozen_harbin,building,10,deeplab_lite,15,0.11697736156492733,0.13504605575441597,0.08216088127066902,0.10395804045466586,0.7702796036442666,0.14114690849202585
p10c_haidian_frozen_harbin,building,10,linear,15,0.1275042246407369,0.16472668506770805,0.09603627254254296,0.13743623310173853,0.8105600016521048,0.14872026631782626
p10c_haidian_frozen_harbin,building,10,unet,15,0.10300231378647902,0.11710613284709054,0.07576932029063668,0.09388812533463572,0.7942070604350415,0.2186005354252399
p10c_haidian_frozen_harbin,building,10,wide_mlp,15,0.13999125575951163,0.1652239974451913,0.115728516233816,0.15454879012675224,0.8732350171013744,0.07643215169831398
p10c_haidian_frozen_harbin,road,5,conv3x3,15,0.1669067788037556,0.09560356232099292,0.11959003751493986,0.07886683356889528,0.6323976674131006,0.11001486626492372
p10c_haidian_frozen_harbin,road,5,deep_wide_mlp,15,0.16945259484962824,0.09673090031408599,0.12399424930629994,0.08123190280139896,0.6539154713768012,0.10978072498633429
p10c_haidian_frozen_harbin,road,5,deeplab_lite,15,0.1404903556497648,0.06195052942636908,0.09258426427252556,0.05069666318091289,0.5867220012170171,0.04141411802802647
p10c_haidian_frozen_harbin,road,5,linear,15,0.1732409720519246,0.06666782646619604,0.10389962127299635,0.0475437918997371,0.6433691581662202,0.08511890215585506
p10c_haidian_frozen_harbin,road,5,unet,15,0.1319582127181428,0.06555265066897017,0.08764641472314026,0.0510213344418309,0.5583186887916083,0.05041931598129069
p10c_haidian_frozen_harbin,road,5,wide_mlp,15,0.1686630697123658,0.09955770885303136,0.1234844012665833,0.08073105183332967,0.6604899212142387,0.10542513064411288
p10c_haidian_frozen_harbin,road,10,conv3x3,15,0.1975029842626133,0.09520269877082205,0.1441510056228765,0.08112879939833595,0.6802321153975237,0.10737960344355085
p10c_haidian_frozen_harbin,road,10,deep_wide_mlp,15,0.18774319173413181,0.10361426810714536,0.14167805369306702,0.09029007249043612,0.6682960118058107,0.1180236830632861
p10c_haidian_frozen_harbin,road,10,deeplab_lite,15,0.16497817313145768,0.07508317069810311,0.11385758147991097,0.06599074985889151,0.6252862010679122,0.05631144650537902
p10c_haidian_frozen_harbin,road,10,linear,15,0.17301091081365683,0.08357937407303184,0.11013380194359873,0.05249419978480077,0.648816845714458,0.10998685674650648
p10c_haidian_frozen_harbin,road,10,unet,15,0.1698495282168857,0.08288891437341254,0.11943212218669934,0.07260629666805066,0.6333502645591138,0.05555006071161013
p10c_haidian_frozen_harbin,road,10,wide_mlp,15,0.18893470056611833,0.10577418407161282,0.140907893478721,0.09617370384231204,0.6670320184479388,0.11633856656043144
p10c_haidian_frozen_harbin,water,5,conv3x3,15,0.30143153499257,0.32552054626068666,0.3191469394452661,0.35828205820568,0.6686936411440594,0.15373121410922017
p10c_haidian_frozen_harbin,water,5,deep_wide_mlp,15,0.31679742420660634,0.33456974065226547,0.3387165943778167,0.36103815066582917,0.7045736915933437,0.14631284396685293
p10c_haidian_frozen_harbin,water,5,deeplab_lite,15,0.30487580239821177,0.33031645008467786,0.29988031938641846,0.34111103359784256,0.6597980758635034,0.13421599816515448
p10c_haidian_frozen_harbin,water,5,linear,15,0.2938001014905049,0.32564356079226203,0.3057776570152219,0.3393847521771216,0.680762153824541,0.13353598603537098
p10c_haidian_frozen_harbin,water,5,unet,15,0.30984482918795153,0.33416872859264746,0.28823631890411877,0.33301128984932643,0.6460041018203261,0.1269706942325417
p10c_haidian_frozen_harbin,water,5,wide_mlp,15,0.31772480330438135,0.33382045719839143,0.3448211350107215,0.36029450226441206,0.7096688854024447,0.14299293124465148
p10c_haidian_frozen_harbin,water,10,conv3x3,15,0.3514132580954696,0.33395331854246146,0.3995939141916165,0.34299281099599854,0.7574212696189586,0.13845529896430153
p10c_haidian_frozen_harbin,water,10,deep_wide_mlp,15,0.3525708939980905,0.332208028131338,0.40736184840616396,0.34558603071979227,0.7463922381901962,0.15278260264718677
p10c_haidian_frozen_harbin,water,10,deeplab_lite,15,0.36822309644209494,0.3282478340132942,0.38622649263096187,0.34533414513518845,0.7513612423013054,0.1309278765458212
p10c_haidian_frozen_harbin,water,10,linear,15,0.3176018271792488,0.322952606406685,0.34581261614411896,0.33652236649770984,0.7161059845156991,0.1571505324608088
p10c_haidian_frozen_harbin,water,10,unet,15,0.3348605831463068,0.32092206591134836,0.3970810291565225,0.3332078246442712,0.7442957687498523,0.14025935657587157
p10c_haidian_frozen_harbin,water,10,wide_mlp,15,0.35133953982572425,0.3338196049166756,0.4010380645987501,0.3469084313405938,0.7464312957745837,0.15381065979099925
